"","salary_range","Year","count_all","count_black","count_vm","count_indigenous","count_pwd"
"75","80,000 to 84,999","2021",16641,454,2708,854,640
"76","80,000 to 84,999","2022",11649,360,2087,623,519
"77","80,000 to 84,999","2023",11295,407,2096,622,540
"78","85,000 to 89,999","2017",7279,252,1310,337,381
"79","85,000 to 89,999","2018",16294,367,2335,953,1008
"80","85,000 to 89,999","2019",18340,457,2793,972,1115
"81","85,000 to 89,999","2020",20511,522,3481,1105,1167
"82","85,000 to 89,999","2021",19438,620,3908,1113,1069
"83","85,000 to 89,999","2022",20747,681,4016,1174,1093
"84","85,000 to 89,999","2023",22431,841,4524,1293,1362
"85","90,000 to 94,999","2017",7448,152,1073,262,359
"86","90,000 to 94,999","2018",8631,332,1685,368,429
"87","90,000 to 94,999","2019",9276,393,1892,427,427
"88","90,000 to 94,999","2020",8953,304,1689,411,427
"89","90,000 to 94,999","2021",16479,453,2563,1064,961
"90","90,000 to 94,999","2022",20617,577,3774,1242,1333
"91","90,000 to 94,999","2023",22142,669,4344,1259,1575
"92","95,000 to 99,999","2017",8433,206,1519,233,450
"93","95,000 to 99,999","2018",7658,188,1182,281,355
"94","95,000 to 99,999","2019",8886,203,1340,409,429
"95","95,000 to 99,999","2020",9769,315,1646,472,520
"96","95,000 to 99,999","2021",8158,303,1585,454,444
"97","95,000 to 99,999","2022",8854,356,1894,490,494
"98","95,000 to 99,999","2023",8853,331,1892,482,598
"99","Total","2017",185484,5218,28058,9726,10259
"100","Total","2018",192467,5538,30273,9876,10181
"101","Total","2019",203268,6468,34004,10435,10622
"102","Total","2020",214120,7427,38145,10888,11087
"103","Total","2021",228345,8754,43122,11977,0
"104","Total","2022",236133,9809,47728,12336,0
"105","Total","2023",253411,11771,55034,13363,0
"106","Under 15,000","2019",304,2,2,3,17
"107","Under 25,000","2021",641,0,0,14,41
"108","Under 25,000","2022",646,0,0,0,0
"109","Under 50,000","2017",23124,850,3615,1454,1553
"110","Under 50,000","2018",10826,388,1758,618,661
"111","Under 50,000","2020",10316,411,1789,573,617
"112","Under 50,000","2022",0,0,0,289,396
"113","Under 50,000","2023",5506,258,1149,309,456
